id;code;nom
1;Jordanian Dinar Health;redundant optical green
2;world-class withdrawal payment;Serbian Dinar Place
3;engage mindshare;JSON matrices Automotive
4;Berkshire redefine;Shore Cambridgeshire
5;haptic Dynamic Cambridgeshire;Investment Account
6;Granite;Cambridgeshire Manager
7;transparent deposit Tala;Practical COM
8;Quality cyan;Computers backing up Savings Account
9;local area network Bedfordshire maroon;exploit cyan Macedonia
10;Ergonomic Metal Chair back-end architecture;Tuna methodologies Facilitator
