id;code;description;capacite
1;Executive;Regional Plastic Multi-layered;75725
2;open-source Beauty;engineer Branding;38171
3;Malta calculating Investment Account;turquoise open-source;34190
4;matrix methodologies Designer;Norwegian Krone;71022
5;repurpose;multimedia;17498
6;Accounts Money Market Account;District Administrator port;53465
7;Handmade Cotton Sausages Concrete;time-frame;33052
8;cross-platform;deposit;27482
9;El Salvador Colon US Dollar;Avon Baby Licensed Rubber Bacon;37095
10;Sausages compressing;bleeding-edge Movies;53893
